x y z
74.5671 56.2835 2.0000
74.5125 56.3217 2.0000
74.4580 56.3601 2.0000
74.4035 56.3985 2.0000
74.3491 56.4371 2.0000
74.2948 56.4757 2.0000
74.2405 56.5144 2.0000
74.1863 56.5531 2.0000
74.1321 56.5920 2.0000
74.0780 56.6309 2.0000
74.0239 56.6699 2.0000
73.9699 56.7090 2.0000
73.9160 56.7482 2.0000
73.8621 56.7875 2.0000
73.8083 56.8268 2.0000
73.7545 56.8662 2.0000
73.7008 56.9057 2.0000
73.6472 56.9453 2.0000
73.5936 56.9850 2.0000
73.5401 57.0247 2.0000
73.4866 57.0646 2.0000
73.4332 57.1045 2.0000
73.3799 57.1445 2.0000
73.3266 57.1846 2.0000
73.2734 57.2247 2.0000
73.2202 57.2649 2.0000
73.1671 57.3053 2.0000
73.1141 57.3457 2.0000
73.0611 57.3861 2.0000
73.0082 57.4267 2.0000
72.9554 57.4674 2.0000
72.9026 57.5081 2.0000
72.8499 57.5489 2.0000
72.7972 57.5898 2.0000
72.7446 57.6307 2.0000
72.6921 57.6718 2.0000
72.6396 57.7129 2.0000
72.5872 57.7541 2.0000
72.5348 57.7953 2.0000
72.4825 57.8367 2.0000
72.4303 57.8781 2.0000
72.3781 57.9196 2.0000
72.3260 57.9612 2.0000
72.2739 58.0028 2.0000
72.2219 58.0445 2.0000
72.1700 58.0863 2.0000
72.1181 58.1281 2.0000
72.0662 58.1700 2.0000
72.0144 58.2120 2.0000
71.9627 58.2541 2.0000
71.9110 58.2962 2.0000
71.8594 58.3384 2.0000
71.8079 58.3807 2.0000
71.7563 58.4230 2.0000
71.7049 58.4654 2.0000
71.6535 58.5078 2.0000
71.6021 58.5504 2.0000
71.5509 58.5929 2.0000
71.4996 58.6356 2.0000
71.4484 58.6783 2.0000
71.3973 58.7211 2.0000
71.3462 58.7639 2.0000
71.2952 58.8068 2.0000
71.2442 58.8497 2.0000
71.1932 58.8927 2.0000
71.1423 58.9358 2.0000
71.0915 58.9789 2.0000
71.0407 59.0221 2.0000
70.9900 59.0654 2.0000
70.9393 59.1087 2.0000
70.8886 59.1520 2.0000
70.8380 59.1954 2.0000
70.7875 59.2389 2.0000
70.7370 59.2824 2.0000
70.6865 59.3260 2.0000
70.6361 59.3696 2.0000
70.5857 59.4133 2.0000
70.5354 59.4570 2.0000
70.4851 59.5008 2.0000
70.4349 59.5446 2.0000
70.3847 59.5885 2.0000
70.3345 59.6324 2.0000
70.2844 59.6763 2.0000
70.2344 59.7204 2.0000
70.1843 59.7644 2.0000
70.1344 59.8086 2.0000
70.0844 59.8527 2.0000
70.0345 59.8969 2.0000
69.9846 59.9412 2.0000
69.9348 59.9855 2.0000
69.8850 60.0298 2.0000
69.8353 60.0742 2.0000
69.7856 60.1186 2.0000
69.7359 60.1631 2.0000
69.6863 60.2076 2.0000
69.6367 60.2521 2.0000
69.5871 60.2967 2.0000
69.5376 60.3414 2.0000
69.4881 60.3860 2.0000
69.4387 60.4307 2.0000
69.3892 60.4755 2.0000
69.3399 60.5203 2.0000
69.2905 60.5651 2.0000
69.2412 60.6099 2.0000
69.1919 60.6548 2.0000
69.1426 60.6998 2.0000
69.0934 60.7447 2.0000
69.0442 60.7897 2.0000
68.9951 60.8348 2.0000
68.9459 60.8798 2.0000
68.8968 60.9249 2.0000
68.8478 60.9700 2.0000
68.7987 61.0152 2.0000
68.7497 61.0604 2.0000
68.7007 61.1056 2.0000
68.6518 61.1509 2.0000
68.6029 61.1961 2.0000
68.5540 61.2415 2.0000
68.5051 61.2868 2.0000
68.4562 61.3322 2.0000
68.4074 61.3775 2.0000
68.3586 61.4230 2.0000
68.3098 61.4684 2.0000
68.2611 61.5139 2.0000
68.2123 61.5594 2.0000
68.1636 61.6049 2.0000
68.1149 61.6504 2.0000
68.0663 61.6960 2.0000
68.0176 61.7416 2.0000
67.9690 61.7872 2.0000
67.9204 61.8328 2.0000
67.8718 61.8785 2.0000
67.8233 61.9242 2.0000
67.7747 61.9699 2.0000
67.7262 62.0156 2.0000
67.6777 62.0613 2.0000
67.6292 62.1071 2.0000
67.5807 62.1528 2.0000
67.5323 62.1986 2.0000
67.4838 62.2444 2.0000
67.4354 62.2902 2.0000
67.3870 62.3361 2.0000
67.3386 62.3819 2.0000
67.2902 62.4278 2.0000
67.2419 62.4737 2.0000
67.1935 62.5196 2.0000
67.1452 62.5655 2.0000
67.0968 62.6114 2.0000
67.0485 62.6573 2.0000
